Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Fall 2021,5.27,5.12,5.44,5.35,5.26,5.31,5.34,99,ACCT 5160
Spr 2022,5.52,5.34,5.58,5.43,5.7,5.75,5.59,56,ACCT 5160
Fall 2022,5.54,5.29,5.6,5.52,5.55,5.63,5.6,90,ACCT 5160
Spr 2023,4.86,4.96,4.86,4.86,4.93,4.54,5.0,28,ACCT 5160
Spr 2021,5.5,5.18,5.5,5.43,5.23,5.46,5.32,28,ACCT 5180
Spr 2022,5.3,4.75,5.41,5.38,4.97,5.53,4.97,33,ACCT 5180
Spr 2023,5.61,5.11,5.61,5.5,5.06,5.61,5.28,18,ACCT 5180
Fall 2020,5.65,5.29,5.41,5.24,5.47,5.47,5.35,17,ACCT 5236
Spr 2021,5.83,5.28,5.67,5.56,5.61,5.72,5.56,18,ACCT 5236
Fall 2021,5.4,5.19,4.86,5.38,5.38,5.24,5.24,21,ACCT 5236
Spr 2022,5.59,5.24,5.0,5.53,5.47,5.18,5.12,17,ACCT 5236
Fall 2022,5.47,5.19,5.41,5.65,5.59,5.53,5.41,17,ACCT 5236
Spr 2023,5.33,5.07,5.47,5.47,5.67,5.4,5.4,15,ACCT 5236
Spr 2021,5.25,4.59,5.19,5.09,4.91,5.22,4.97,32,ACCT 5310
Spr 2022,5.37,5.19,5.52,5.48,5.56,5.63,5.26,27,ACCT 5310
Spr 2023,5.3,4.81,5.12,5.52,5.15,5.44,5.0,27,ACCT 5310
Spr 2023,5.44,5.22,5.22,5.78,5.89,5.56,5.67,9,ACCT 5900
Fall 2020,5.37,5.35,5.7,5.6,5.6,5.75,5.7,20,ACCT 6100
Fall 2021,5.71,5.47,5.67,5.67,5.72,5.72,5.69,36,ACCT 6100
Fall 2022,5.64,5.47,5.71,5.57,5.66,5.4,5.66,36,ACCT 6100
Spr 2023,5.88,5.52,5.8,5.79,5.72,5.79,5.79,26,ACCT 6100
Fall 2020,5.64,5.58,5.58,5.73,5.62,5.54,5.65,26,ACCT 6601
Fall 2021,5.33,5.14,5.36,5.33,5.05,4.88,5.14,42,ACCT 6601
Fall 2022,5.13,5.13,5.43,5.13,5.29,5.1,4.94,31,ACCT 6601
Fall 2020,5.71,5.54,5.79,5.79,5.88,5.5,5.79,24,ACCT 6602
Fall 2021,5.41,5.23,5.59,5.59,5.67,5.28,5.49,39,ACCT 6602
Fall 2022,5.5,5.21,5.61,5.54,5.57,5.38,5.54,24,ACCT 6602
Spr 2021,5.5,5.25,5.5,5.5,5.5,5.63,5.5,8,ACCT 6603
Spr 2022,5.73,5.64,5.27,5.73,5.45,5.55,5.82,11,ACCT 6603
Fall 2020,5.53,5.56,5.63,5.63,5.38,5.38,5.5,16,ACCT 6604
Fall 2021,5.05,5.0,4.95,5.05,5.32,5.05,5.32,19,ACCT 6604
Fall 2020,5.11,4.89,4.89,4.78,4.72,5.17,4.83,18,ACCT 6606
Fall 2021,4.89,4.52,5.33,5.05,5.1,5.14,4.67,21,ACCT 6606
Fall 2022,5.79,5.68,5.83,5.79,5.66,5.66,5.79,29,ACCT 6606
Fall 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,ACCT 8801
Spr 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ACCT 8802
Fall 2022,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,ACCT 8802
Spr 2021,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,ACCT 8803
